statecode,countyname,reported_propertytype,bldg_count
AK,Aleutians East Borough,Hospitality,2
AK,Aleutians East Borough,Multi-Family,1
AK,Aleutians East Borough,Specialty,1
AK,Aleutians West Census Area,Multi-Family,1
AK,Aleutians West Census Area,Office,2
AK,Aleutians West Census Area,Retail,4
AK,Anchorage Municipality,Flex,143
AK,Anchorage Municipality,Health Care,11
AK,Anchorage Municipality,Hospitality,89
AK,Anchorage Municipality,Industrial,684
AK,Anchorage Municipality,Multi-Family,764
AK,Anchorage Municipality,Office,649
AK,Anchorage Municipality,Retail,960
AK,Anchorage Municipality,Specialty,133
AK,Anchorage Municipality,Sports & Entertainment,10
AK,Bethel Census Area,Hospitality,2
AK,Bethel Census Area,Multi-Family,4
AK,Bethel Census Area,Office,2
AK,Bethel Census Area,Retail,3
AK,Bethel Census Area,Specialty,3
AK,Bristol Bay Borough,Hospitality,3
AK,Bristol Bay Borough,Industrial,1
AK,Bristol Bay Borough,Office,1
AK,Bristol Bay Borough,Retail,3
AK,Bristol Bay Borough,Specialty,1
AK,Denali Borough,Hospitality,10
AK,Denali Borough,Office,1
AK,Denali Borough,Retail,4
AK,Denali Borough,Specialty,4
AK,Dillingham Census Area,Hospitality,1
AK,Dillingham Census Area,Industrial,2
AK,Dillingham Census Area,Multi-Family,1
AK,Dillingham Census Area,Office,1
AK,Dillingham Census Area,Retail,2
AK,Dillingham Census Area,Specialty,1
AK,Fairbanks North Star Borough,Flex,11
AK,Fairbanks North Star Borough,Health Care,4
AK,Fairbanks North Star Borough,Hospitality,22
AK,Fairbanks North Star Borough,Industrial,117
AK,Fairbanks North Star Borough,Multi-Family,77
AK,Fairbanks North Star Borough,Office,91
AK,Fairbanks North Star Borough,Retail,180
AK,Fairbanks North Star Borough,Specialty,17
AK,Fairbanks North Star Borough,Sports & Entertainment,2
AK,Haines Borough,Health Care,1
AK,Haines Borough,Hospitality,4
AK,Haines Borough,Retail,7
AK,Haines Borough,Specialty,2
AK,Haines Borough,Sports & Entertainment,3
AK,Hoonah-Angoon Census Area,Hospitality,7
AK,Hoonah-Angoon Census Area,Office,1
AK,Hoonah-Angoon Census Area,Retail,1
AK,Hoonah-Angoon Census Area,Specialty,1
AK,Juneau City and Borough,Hospitality,11
AK,Juneau City and Borough,Industrial,5
AK,Juneau City and Borough,Multi-Family,64
AK,Juneau City and Borough,Office,31
AK,Juneau City and Borough,Retail,53
AK,Juneau City and Borough,Specialty,2
AK,Kenai Peninsula Borough,Flex,6
AK,Kenai Peninsula Borough,Health Care,4
AK,Kenai Peninsula Borough,Hospitality,54
AK,Kenai Peninsula Borough,Industrial,77
AK,Kenai Peninsula Borough,Multi-Family,72
AK,Kenai Peninsula Borough,Office,67
AK,Kenai Peninsula Borough,Retail,221
AK,Kenai Peninsula Borough,Specialty,45
AK,Kenai Peninsula Borough,Sports & Entertainment,3
AK,Ketchikan Gateway Borough,Hospitality,6
AK,Ketchikan Gateway Borough,Industrial,8
AK,Ketchikan Gateway Borough,Multi-Family,7
AK,Ketchikan Gateway Borough,Office,14
AK,Ketchikan Gateway Borough,Retail,48
AK,Ketchikan Gateway Borough,Specialty,4
AK,Kodiak Island Borough,Flex,1
AK,Kodiak Island Borough,Health Care,1
AK,Kodiak Island Borough,Hospitality,2
AK,Kodiak Island Borough,Industrial,2
AK,Kodiak Island Borough,Multi-Family,5
AK,Kodiak Island Borough,Office,5
AK,Kodiak Island Borough,Retail,19
AK,Kodiak Island Borough,Specialty,2
AK,Kusilvak Census Area,Retail,1
AK,Lake and Peninsula Borough,Hospitality,2
AK,Lake and Peninsula Borough,Specialty,1
AK,Matanuska-Susitna Borough,Flex,6
AK,Matanuska-Susitna Borough,Health Care,2
AK,Matanuska-Susitna Borough,Hospitality,34
AK,Matanuska-Susitna Borough,Industrial,90
AK,Matanuska-Susitna Borough,Multi-Family,144
AK,Matanuska-Susitna Borough,Office,96
AK,Matanuska-Susitna Borough,Retail,235
AK,Matanuska-Susitna Borough,Specialty,38
AK,Matanuska-Susitna Borough,Sports & Entertainment,3
AK,Nome Census Area,Health Care,1
AK,Nome Census Area,Multi-Family,1
AK,Nome Census Area,Office,1
AK,Nome Census Area,Retail,4
AK,Nome Census Area,Specialty,1
AK,North Slope Borough,Hospitality,1
AK,North Slope Borough,Industrial,6
AK,North Slope Borough,Multi-Family,1
AK,North Slope Borough,Office,2
AK,North Slope Borough,Retail,4
AK,North Slope Borough,Specialty,1
AK,Northwest Arctic Borough,Hospitality,1
AK,Northwest Arctic Borough,Retail,3
AK,Petersburg Borough,Hospitality,2
AK,Petersburg Borough,Industrial,1
AK,Petersburg Borough,Retail,6
AK,Petersburg Borough,Specialty,2
AK,Prince of Wales-Hyder Census Area,Hospitality,2
AK,Prince of Wales-Hyder Census Area,Multi-Family,1
